Transfer ID;Amount;Currency;Date;Status;Beneficiary IBAN
93151103-357b-4b8f-8b92-ab7cdab7faaf;7813.25;EUR;2025-08-16;Failed;BE62 5474 2787 2767
4ce0acc6-1ce9-4040-874b-8716df38ea53;311.1;EUR;2025-08-28;Failed;BE75 9060 6135 7217
2bbff6b9-335c-47e5-9a2a-1e0e8e225c65;8141.13;EUR;2024-12-25;Failed;BE57 7942 3548 5511
360b83cb-a5cf-410d-89bc-25ba519384db;1397.56;EUR;2024-12-05;Completed;BE14 3756 5648 8753
d1c4504e-7c92-4baa-a10a-6af167be97c1;6961.46;EUR;2025-04-26;Failed;BE64 8282 6966 7672
fd54cd16-3049-4212-af4b-460fe29d6169;7209.11;EUR;2025-08-02;Failed;BE14 3779 1198 9197
c9728894-14c6-4576-aa23-7d6174602aa2;8397.79;EUR;2025-04-21;Completed;BE75 7995 5267 2995
22742639-9903-426a-acbb-d54442194d80;7633.8;EUR;2025-08-27;Failed;BE22 1557 5616 6651
15705bcc-2ae3-4f0d-8968-03fa0b55ef77;4038.46;EUR;2025-03-09;Pending;BE49 3124 1282 1010
866dab91-6373-47f9-bb9f-b5adfcdb27ba;4109.24;EUR;2025-09-01;Completed;BE85 6873 8101 8725
a60d5dd2-7b5b-44ad-acb5-ee3e33cab4b7;5075.65;EUR;2024-10-27;Pending;BE95 3930 1204 3426
b65a289c-171f-4813-a5f8-e3aef7e5d78f;3569.49;EUR;2024-10-02;Pending;BE95 3544 1813 4299
508dde10-76ea-4378-8ff8-c811b05fd999;4494.74;EUR;2025-03-19;Completed;BE35 9061 7882 3169
be41f293-ae1b-458e-b9d1-5266037b9332;9428.45;EUR;2025-03-19;Pending;BE14 8365 4959 2937
fced423c-2961-4017-b840-839610329314;4804.57;EUR;2025-04-22;Pending;BE64 9419 3177 4251
7d7dc391-ca56-4898-b1e0-49aa1dd48ef6;4600.27;EUR;2025-03-14;Completed;BE93 5922 8455 2308
4814960b-1640-4885-90db-1c1020d44350;8102.96;EUR;2024-10-29;Pending;BE60 6027 9010 9265
cb7e470f-d443-4e04-99b5-9ada0ea8f59c;8582.86;EUR;2025-08-13;Failed;BE45 2464 7638 6018
d45765d5-1f91-4c88-a067-c4e531654c97;9833.21;EUR;2025-07-18;Completed;BE11 7045 8358 2117
c773f97c-0f3d-4e1b-b1ad-637fc5105040;417.13;EUR;2024-10-29;Completed;BE15 8292 7043 6384
98a5a9a9-7f7c-4358-af97-35b1259a4fdc;2790.82;EUR;2025-06-11;Completed;BE91 9927 6207 7348
03488215-4c4a-49aa-ae1c-b7f6ede56a4a;3986.89;EUR;2024-11-15;Pending;BE38 7870 8023 2085
798d09c1-2142-4dd5-b69a-7d50f3bb3087;9646.35;EUR;2025-07-09;Pending;BE96 6508 4858 2913
945fd5bc-9866-4428-9cfb-3f5581ec4325;8786.63;EUR;2025-05-18;Pending;BE35 8310 7896 8957
65700184-3515-4494-a571-78d12d3962e0;2565.52;EUR;2024-10-06;Pending;BE26 2793 8988 7706
d65ec482-140b-4bc6-a25d-3895ac85aca9;6725.06;EUR;2025-04-16;Pending;BE58 2201 5623 6327
a04821a9-f3af-4293-9a2e-d218cbd1b14c;3217.59;EUR;2024-09-20;Pending;BE81 9557 6681 4383
a9c748ef-5e3d-481b-afef-a84b306a972d;6872.71;EUR;2024-09-26;Pending;BE24 7728 1570 5378
c4303a43-d97c-40c1-a84b-eeed79421f8d;683.93;EUR;2024-10-09;Pending;BE25 7789 9542 8577
8b0b5274-7fff-444a-ab6f-deccbb5ffbd4;5491.21;EUR;2025-01-31;Completed;BE59 9649 9418 5937
9f4f8842-ff31-42ae-b144-08b66b49093c;9523.07;EUR;2024-11-05;Failed;BE96 7961 1220 3164
17a5b4dd-40a1-4bdd-b671-d9a219649098;6792.21;EUR;2025-05-11;Failed;BE75 3123 8476 9754
36d0b951-2d3d-4161-abff-147784fb9e6d;6616.62;EUR;2025-09-04;Completed;BE20 6428 3022 9164
7f244a6e-6042-4b1f-b1e4-aced4fc1087d;1294.53;EUR;2025-07-25;Completed;BE92 3628 4308 1305
aeec90e6-0ef5-4561-9d96-ee1628f87ba2;1754.86;EUR;2025-05-31;Pending;BE89 7144 4527 9360
1e69bac8-0f18-4bf9-ad77-2516e5aa74cb;3215.81;EUR;2025-07-27;Failed;BE15 3189 7193 5794
d3a6320d-f865-48c1-b73a-f847208e2e23;1855.5;EUR;2024-10-01;Failed;BE27 1433 2387 1996
6196202c-33b4-4fab-ae30-43d0b9528bc8;6309.88;EUR;2025-03-30;Completed;BE84 2083 9284 6301
5b3a41c2-8f54-4cb1-bb8c-61b83a0929a3;2381.15;EUR;2025-03-12;Failed;BE46 4368 2866 3016
f07adf4d-d951-4a57-8586-3c3ec5123e44;9604.2;EUR;2024-11-07;Failed;BE78 3691 1300 9800
2fc89765-a638-4b6a-881a-83b5cfa4b877;2361.18;EUR;2025-02-28;Pending;BE77 1357 3481 1087
fa1665c5-3788-452f-9460-a170c0e5aa92;3138.98;EUR;2025-03-31;Completed;BE12 2768 5039 3794
0fa03d49-b3ad-4013-a30a-19d73b8ce45b;4953.02;EUR;2025-05-27;Completed;BE65 4261 5143 8013
a78282e6-d2c7-4b3c-9f52-1db00dbd392c;5875.33;EUR;2024-11-17;Failed;BE55 7556 2253 4026
43c31e53-0eb2-43f7-8748-41758884c7bc;3638.31;EUR;2025-04-10;Completed;BE89 7591 5059 5880
62a4a672-afa3-4c18-b13a-3af54efc40b5;1192.84;EUR;2024-10-08;Pending;BE13 7924 8942 6758
77ad2c26-9992-47f4-b9fd-1d64a1ba9558;904.52;EUR;2025-04-12;Failed;BE57 6723 8142 7373
cba91eec-4472-4746-a1bb-2ae1ba7c4686;8839.5;EUR;2025-02-14;Failed;BE62 7895 6002 1728
4baac5f5-ba98-44d0-8513-bd9a4420514a;8166.68;EUR;2025-08-16;Pending;BE30 6634 6157 1919
34b64123-1072-41e8-b85a-a3f42b30550b;2980.51;EUR;2025-02-17;Failed;BE49 1582 8344 1533
f594db67-3bef-471d-8088-e18ea552fdba;3878.47;EUR;2025-04-07;Failed;BE15 7081 2711 4634
c3af2ca4-c764-4d87-837e-6baa66294664;9037.45;EUR;2025-06-01;Failed;BE49 3955 1114 9669
852cfd5e-852e-41dd-a322-8b92e1c058d1;5781.09;EUR;2025-02-14;Failed;BE55 5104 6757 5894
14ec5218-6e6c-4ead-b6b7-9b2bbb20ef75;6431.44;EUR;2025-03-05;Completed;BE24 6418 2311 2693
d695c92b-e480-4faa-a0b9-7a9af549d0b5;322.25;EUR;2025-06-30;Failed;BE50 9595 1359 4047
7bd66beb-d765-4dad-9495-2f007962f6d3;7438.5;EUR;2025-07-14;Completed;BE50 6242 6633 4738
0ef5c314-cbc2-48a0-9db1-37f4298e49e3;6087.32;EUR;2024-09-21;Failed;BE12 9177 3713 4027
09263263-d59e-4409-98f6-cf0da2422992;3680.61;EUR;2025-02-15;Completed;BE58 8116 2453 6433
34f373f0-5bf0-46b5-bd63-b3af47880783;1683.0;EUR;2025-01-23;Completed;BE66 6437 2315 7467
debd8c3d-12f2-4660-911b-29a305ddd1fa;7761.74;EUR;2025-06-06;Failed;BE26 7032 4095 6990
c4fe8e5e-222c-4a4c-93b3-88bea0bb4cd6;8018.0;EUR;2024-09-13;Completed;BE35 9525 5636 6018
dd0f616d-50ac-4a95-a2ee-46e4f13db869;4571.35;EUR;2025-08-15;Completed;BE55 8933 3324 8348
70c17eb0-a64e-4189-ae64-b3903393b0af;8287.13;EUR;2025-06-26;Failed;BE26 1954 7110 2754
17860b71-1e19-4efd-89d5-b60fb0ae7f14;4812.44;EUR;2024-10-24;Pending;BE44 7972 9138 7727
5518158a-0d88-48fb-9ed9-db32800c5216;9159.65;EUR;2025-05-21;Failed;BE50 3778 7284 1157
7be7d512-4dbf-4884-8314-4a66767c9ace;5438.11;EUR;2025-03-31;Pending;BE91 8294 3871 7447
5cb12c01-448a-4133-9a47-7f1ba0042851;9649.03;EUR;2024-11-10;Failed;BE56 9389 3216 3447
e95384fc-1580-4997-a648-9322a3ede0f2;2333.31;EUR;2025-04-30;Pending;BE66 1838 9878 7628
